index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
43486,지에스커넥트,대실역청아람 2단지,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 대실역북로 26대실역청아람 2단지(대실역청아람 2단지),09시~22시,거주자외 출입제한,,,"('35.85958209772', '128.467908011345')","(1087566.4960984357, 1763063.4598545919)"
43492,지에스커넥트,대실역청아람1단지,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 대실역북로 38대실역청아람1단지(대실역청아람 1단지),09시~22시,거주자외 출입제한,7kW,,"('35.8609504210618', '128.468114467113')","(1087585.0566282873, 1763216.4308062743)"
43629,지에스커넥트,더카서비스,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 안심로59길 29더카서비스,24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8688282773256', '128.717419650583')","(1109997.7813728582, 1764097.1313929523)"
43728,지에스커넥트,동대구반도유보라,1,AC완속,대구광역시 ,동구 ,"대구광역시 동구 송라로16길 11(신천동, 동대구반도유보라)(1507 동대구반도유보라)",24시간 이용가능,거주자외 출입제한,,,"('35.8756931933341', '128.617754040188')","(1101037.7675408497, 1764864.5908836732)"
43793,지에스커넥트,동서리치모아109동,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 서변로 88동서리치모아109동(1772 동서리치모아),24시간 이용가능,,7kW,,"('35.9233714593', '128.597151021746')","(1099185.5405842296, 1770194.7562740901)"
43798,지에스커넥트,동서무학맨션,1,AC완속,대구광역시 ,수성구 ,"대구광역시 수성구 지산로14길 83(지산동, 동서무학아파트)(359-1 동서무학아파트)",24시간 이용가능,거주자외 출입제한,,,"('35.8266061684666', '128.638306112052')","(1102885.414361533, 1759376.9340705157)"
43800,지에스커넥트,동서변리벤빌,1,AC완속,대구광역시 ,북구 ,"대구광역시 북구 서변로 106(서변동, 동서변 리벤빌)(동서변 리벤빌)",24시간 이용가능,거주자외 출입제한,,,"('35.9249744954185', '128.596974422637')","(1099169.6641906276, 1770373.966810911)"
43813,지에스커넥트,동신점보아파트,1,AC완속,대구광역시 ,남구 ,"대구광역시 남구 대명로 177(대명동, 동신맨션)(780-3 동신맨션)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.8393762258613', '128.577146995904')","(1097387.1635158537, 1760804.555578554)"
43814,지에스커넥트,동아2차무지개아파트206동옥외,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 침산로21길 10동아2차무지개아파트206동옥외(233-3 대한동아침산2차무지개아파트),24시간 이용가능,,7kW,,"('35.8871115200797', '128.589023982561')","(1098454.913608464, 1766141.0964109378)"
43841,지에스커넥트,동촌강나루타운,1,AC완속,대구광역시 ,동구 ,"대구광역시 동구 효동로 108(효목동, 동촌강나루타운)(9 동촌강나루타운)",24시간 이용가능,거주자외 출입제한,,,"('35.8859570777082', '128.642862587144')","(1103295.044922043, 1766012.0361641117)"
43851,지에스커넥트,동촌화성타운109동,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 동촌로6길 3동촌화성타운109동(932-5 동촌화성타운),24시간 이용가능,,7kW,,"('35.8897342516929', '128.645877703278')","(1103566.1061452525, 1766434.3032419714)"
43893,지에스커넥트,동화훼밀리타운,1,AC완속,대구광역시 ,북구 ,"대구광역시 북구 칠곡중앙대로95길 11(관음동, 동화훼밀리타운)(1386 동화훼밀리타운)",24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('35.9373398799006', '128.547662220674')","(1094736.4598995564, 1771756.3481343593)"
43897,지에스커넥트,두레맨션,1,AC완속,대구광역시 ,수성구 ,"대구광역시 수성구 달구벌대로496길 72(범어동, 두레맨션)(305-3 두레맨션)",24시간 이용가능,거주자외 출입제한,,,"('35.8524729712083', '128.634542242854')","(1102547.0396709826, 1762268.6989856488)"
43907,지에스커넥트,두산위브2001,1,AC완속,대구광역시 ,북구 ,대구광역시 북구 매천로2길 19지하1층 주차장(118동)(팔달동 52),09시~23시,거주자외 출입제한,,,"('35.8981895535914', '128.543601970896')","(1094371.4403704714, 1767379.5590442093)"
