주차장명,주차장구분,소재지지번주소,주차구획수,위도,경도
대사동제5노외,공영,대전광역시 중구 대사동 233-191,11,36.31693109999988,127.42074169999965
선화동제4노외,공영,대전광역시 중구 선화동 381-108번지일원,49,36.324664900000016,127.41649599999928
문화동제8노외,공영,대전광역시 중구 문화동 571-14,10,36.30729920000022,127.3990663
벌말지구 주차장,공영,대전광역시 대덕구 미호동 220-6,18,36.4672054917,127.4708973
중리미래공영주차장,공영,대전광역시 대덕구 중리동 363-23,51,36.3656212,127.4244456
용호동주차장,공영,대전광역시 대덕구 용호동 177-1,8,36.436075701,127.4509039142
삼정동 제1공영주차장,공영,대전광역시 대덕구 삼정동 310-1,11,36.4500112782,127.4668463
중리행복길①공영주차장,공영,대전광역시 대덕구 중리동 196-10,34,36.3607014176,127.4288143
중리행복길②공영주차장,공영,대전광역시 대덕구 중리동 197-17,15,36.360553,127.427937
중리만남공영주차장,공영,대전광역시 대덕구 중리동 180-1,21,36.36149254,127.4305618
비래동 제2공영주차장,공영,대전광역시 대덕구 비래동 412-2,31,36.3662118803,127.4474970771
중리구봉공영주차장,공영,대전광역시 대덕구 중리동 164-5,30,36.361489,127.427061564
용호마을테마먹거리촌공영주차장,공영,대전광역시 대덕구 용호동 44-2,47,36.4483128,127.4512963186
한촌공원 주차장,공영,대전광역시 대덕구 중리동 223-1,50,36.3571560421,127.421785933
비래동로 31번길 공영주차장,공영,대전광역시 대덕구 비래동 128-4,10,36.3566123568,127.4497836684
비래동로 23번길 공영주차장,공영,대전광역시 대덕구 비래동 128-10,26,36.356673,127.4490228824
회덕동 공영주차장,공영,대전광역시 대덕구 읍내동 247-3,66,36.3767305,127.4217681
산디마을 공영주차장,공영,대전광역시 대덕구 장동 670,7,36.3952939,127.4424192
석봉과선교 철도주변 공영주차장,공영,대전광역시 대덕구 석봉동 387-3,15,36.4465709636,127.428665822
새뜸마을안길 공영주차장,공영,대전광역시 대덕구 장동 783,7,36.4028775168,127.4359917
장동욕골지구 공영주차장,공영,대전광역시 대덕구 장동 367-4,91,36.4140307,127.4380339464
대화동 두레 주차장,공영,대전광역시 대덕구 대화동 16-25,6,36.3634035,127.417612
신탄진역앞공영주차장,공영,대전광역시 대덕구 신탄진동 140-25,41,36.4504164055,127.4297235
산중골주차장,공영,대전광역시 대덕구 읍내동 11-1,89,36.3782574602,127.4314525
신대지구 제1공영주차장,공영,대전광역시 대덕구 신대동 357-5,15,36.3977378,127.4205356
신대지구 제2공영주차장,공영,대전광역시 대덕구 신대동 238-1,14,36.3982007868,127.4187870064
비래동공영주차장,공영,대전광역시 대덕구 비래동 143-7,25,36.354602,127.4525444018
대덕산업단지주차장,공영,대전광역시 대덕구 문평동 80-1,111,36.4461062049,127.4035878
이현동주차장,공영,대전광역시 대덕구 이현동 190,15,36.4137390151,127.4660133613
남경지구 제1공영주차장,공영,대전광역시 대덕구 신탄진동 266-15,16,36.4435272113,127.431785475
남경지구 제2공영주차장,공영,대전광역시 대덕구 신탄진동 295-128,16,36.4428146,127.4304232416
남경지구 제3공영주차장,공영,대전광역시 대덕구 신탄진동 295-137,12,36.4429067,127.4314271042
송촌도서관 주차장,공영,대전광역시 대덕구 송촌동 165,39,36.360082,127.4401573
선화교 하상주차장(삼성동),공영,대전광역시 동구 대전천,70,36.25752069999965,127.4730349000001
소제동 하상주차장,공영,대전광역시 동구 대동천,210,36.33677369999994,127.43331579999979
신흥동 제1치수교 하상주차장,공영,대전광역시 동구 대동천,51,36.33677369999994,127.43331579999979
동춘당로94번길 노상주차장,공영,대전광역시 대덕구 송촌동 525,55,36.3676139407,127.4378139512
비래동로노상공영주차장,공영,대전광역시 대덕구 비래동 140-5,60,36.3549079867,127.4500228
계족산로81번길 노상주차장,공영,대전광역시 대덕구 송촌동 534,58,36.3652487348,127.4387394196
동춘당생애길①공영주차장,공영,대전광역시 대덕구 중리동 507-1,29,36.3613055276,127.4320468
동춘당생애길②공영주차장,공영,대전광역시 대덕구 중리동 506,257,36.3613055276,127.4320468
중리정려각공영주자장,공영,대전광역시 대덕구 중리동 498-2,40,36.3629023,127.4363864
송촌공영주차장,공영,대전광역시 대덕구 송촌동 478-1,47,36.3636408,127.4399312
송촌먹자골목공영주차장,공영,대전광역시 대덕구 송촌동 458,76,36.3654744,127.4377262
송촌주민센터공영주차장,공영,대전광역시 대덕구 송촌동 460-1,36,36.3670091897,127.4382045
읍내어울림공영주차장,공영,대전광역시 대덕구 읍내동 575-5,35,36.3763015,127.4277683
